Employee ID;Employee Name;Gender;Age;Department;Job Role;Hire Date;Employment Status;Resignation Date;Education Level;Region;Monthly Salary;Salary Category;Bonus;Performance Score;Overtime Hours;Attendance Rate (%);Years at Company;Job Satisfaction
EMP000001;Employee_1;Female;48;Sales;Sales Manager;30/05/2019;Active;;Master;Bandung;Rp18.831.984,00;Rp15 jt - Rp25 jt;Rp5.723.038,00;4,91;15;98,03;7,1;4
EMP000002;Employee_2;Male;26;IT;System Admin;26/10/2020;Resigned;04/04/2026;Diploma;Bandung;Rp33.418.624,00;>Rp25 jt;Rp541.210,00;3,47;55;99,01;5,4;4
EMP000003;Employee_3;Female;36;Operations;Operations Manager;08/05/2025;Active;;High School;Surabaya;Rp15.519.850,00;Rp15 jt - Rp25 jt;Rp1.322.362,00;3,13;46;80,86;1,1;2
EMP000004;Employee_4;Female;39;Marketing;Marketing Executive;19/02/2021;Active;;High School;Bandung;Rp7.673.135,00;Rp5 jt - Rp10 jt;Rp5.803.373,00;4,48;58;97,08;5,3;3
EMP000005;Employee_5;Male;56;IT;Data Analyst;01/07/2023;Resigned;19/02/2026;Bachelor;Semarang;Rp25.941.260,00;>Rp25 jt;Rp1.286.723,00;3,43;19;75,48;2,6;1
EMP000006;Employee_6;Male;57;Logistics;Supply Chain Analyst;24/05/2023;Active;;Diploma;Surabaya;Rp26.677.346,00;>Rp25 jt;Rp9.908.304,00;3,36;15;78,65;3,1;4
EMP000007;Employee_7;Female;24;Logistics;Supply Chain Analyst;07/04/2019;Active;;Bachelor;Bandung;Rp25.806.571,00;>Rp25 jt;Rp3.832.514,00;3,93;34;87,43;7,2;5
EMP000008;Employee_8;Female;28;HR;Recruiter;15/06/2025;Active;;Bachelor;Medan;Rp14.576.147,00;Rp10 jt - Rp15 jt;Rp5.328.081,00;4,65;20;70,49;1;2
EMP000009;Employee_9;Female;44;Operations;Operations Manager;06/04/2021;Active;;Master;Yogyakarta;Rp28.171.681,00;>Rp25 jt;Rp2.716.525,00;4,78;43;76,19;5,2;1
EMP000010;Employee_10;Male;27;Operations;Operations Manager;03/12/2020;Resigned;06/03/2025;High School;Bandung;Rp11.630.453,00;Rp10 jt - Rp15 jt;Rp2.850.529,00;4,52;18;97,16;4,3;3
EMP000011;Employee_11;Female;44;Sales;Sales Executive;30/12/2024;Active;;Bachelor;Medan;Rp24.453.900,00;Rp15 jt - Rp25 jt;Rp3.194.035,00;2,98;18;88,68;1,5;2
EMP000012;Employee_12;Male;33;Sales;Sales Executive;30/07/2022;Active;;Bachelor;Yogyakarta;Rp29.873.807,00;>Rp25 jt;Rp8.723.283,00;3,18;20;85,92;3,9;5
EMP000013;Employee_13;Male;23;IT;Software Engineer;04/04/2023;Resigned;05/10/2024;Bachelor;Surabaya;Rp15.446.940,00;Rp15 jt - Rp25 jt;Rp8.647.617,00;3,38;55;77,21;1,5;1
EMP000014;Employee_14;Female;21;Marketing;Marketing Executive;28/01/2025;Active;;Diploma;Bandung;Rp20.694.172,00;Rp15 jt - Rp25 jt;Rp2.767.849,00;4,44;21;75,69;1,4;1
EMP000015;Employee_15;Male;38;Logistics;Supply Chain Analyst;21/12/2018;Resigned;22/03/2021;Master;Surabaya;Rp33.973.726,00;>Rp25 jt;Rp7.078.185,00;2,72;26;86,34;2,3;2
EMP000016;Employee_16;Male;35;Marketing;Marketing Executive;15/01/2024;Resigned;Missing Resignation Date;Diploma;Bandung;Rp15.971.299,00;Rp15 jt - Rp25 jt;Rp320.559,00;4,74;18;79,8;2,4;4
EMP000017;Employee_17;Male;57;Logistics;Supply Chain Analyst;03/12/2023;Resigned;11/12/2024;Bachelor;Jakarta;Rp23.414.742,00;Rp15 jt - Rp25 jt;Rp3.321.992,00;4,62;29;72,55;1;1
EMP000018;Employee_18;Female;27;Operations;Operations Manager;17/12/2021;Active;;Diploma;Yogyakarta;Rp25.102.836,00;>Rp25 jt;Rp2.009.979,00;3,99;58;76,83;4,5;1
EMP000019;Employee_19;Male;40;Marketing;Marketing Executive;01/03/2023;Resigned;Missing Resignation Date;High School;Medan;Rp10.196.456,00;Rp10 jt - Rp15 jt;Rp4.388.124,00;4,62;33;78,66;3,3;2
EMP000020;Employee_20;Male;34;Finance;Accountant;21/07/2025;Active;;Bachelor;Bandung;Rp32.257.645,00;>Rp25 jt;Rp3.745.075,00;4,23;54;99,34;0,9;5
