Employee ID,Employee Name,Gender,Age,Department,Job Role,Hire Date,Employment Status,Resignation Date,Education Level,Region,Monthly Salary,Bonus,Performance Score,Overtime Hours,Attendance Rate (%),Years at Company,Job Satisfaction
EMP000001,Employee_1,Female,48,Sales,Sales Manager,2019-05-30,Active,,Master,Bandung,18831984,5723038,4.91,15,98.03,7.123887748117728,4
EMP000002,Employee_2,Male,26,IT,System Admin,2020-10-26,Resigned,2026-04-04,Diploma,Bandung,33418624,541210,3.47,55,99.01,5.437371663244353,4
EMP000003,Employee_3,Female,36,Operations,Operations Manager,2025-05-08,Active,,High School,Surabaya,15519850,1322362,3.13,46,80.86,1.1827515400410678,2
EMP000004,Employee_4,Female,39,Marketing,Marketing Executive,2021-02-19,Active,,High School,Bandung,7673135,5803373,4.48,58,97.08,5.3963039014373715,3
EMP000005,Employee_5,Male,56,IT,Data Analyst,2023-07-01,Resigned,,Bachelor,Semarang,25941260,1286723,3.43,19,75.48,3.0362765229295,1
EMP000006,Employee_6,Male,57,Logistics,Supply Chain Analyst,2023-05-24,Active,,Diploma,Surabaya,26677346,9908304,3.36,15,78.65,3.14031485284052,4
EMP000007,Employee_7,Female,24,Logistics,Supply Chain Analyst,2019-04-07,Active,,Bachelor,Bandung,25806571,3832514,3.93,34,87.43,7.268993839835729,5
EMP000008,Employee_8,Female,28,HR,Recruiter,2025-06-15,Active,,Bachelor,Medan,14576147,5328081,4.65,20,70.49,1.0787132101300478,2
EMP000009,Employee_9,Female,44,Operations,Operations Manager,2021-04-06,Active,,Master,Yogyakarta,28171681,2716525,4.78,43,76.19,5.270362765229295,1
EMP000010,Employee_10,Male,27,Operations,Operations Manager,2020-12-03,Resigned,2025-06-03,High School,Bandung,11630453,2850529,4.52,18,97.16,4.498288843258043,3
EMP000011,Employee_11,Female,44,Sales,Sales Executive,2024-12-30,Active,,Bachelor,Medan,24453900,3194035,2.98,18,88.68,1.5359342915811087,2
EMP000012,Employee_12,Male,33,Sales,Sales Executive,2022-07-30,Active,,Bachelor,Yogyakarta,29873807,8723283,3.18,20,85.92,3.9561943874058865,5
EMP000013,Employee_13,Male,23,IT,Software Engineer,2023-04-04,Resigned,2024-05-10,Bachelor,Surabaya,15446940,8647617,3.38,55,77.21,1.1006160164271048,1
EMP000014,Employee_14,Female,21,Marketing,Marketing Executive,2025-01-28,Active,,Diploma,Bandung,20694172,2767849,4.44,21,75.69,1.4565366187542779,1
EMP000015,Employee_15,Male,38,Logistics,Supply Chain Analyst,2018-12-21,Resigned,,Master,Surabaya,33973726,7078185,2.72,26,86.34,7.561943874058864,2
EMP000016,Employee_16,Male,35,Marketing,Marketing Executive,2024-01-15,Resigned,,Diploma,Bandung,15971299,320559,4.74,18,79.8,2.4941820670773445,4
EMP000017,Employee_17,Male,57,Logistics,Supply Chain Analyst,2023-12-03,Resigned,2024-11-12,Bachelor,Jakarta,23414742,3321992,4.62,29,72.55,0.944558521560575,1
EMP000018,Employee_18,Female,27,Operations,Operations Manager,2021-12-17,Active,,Diploma,Yogyakarta,25102836,2009979,3.99,58,76.83,4.572210814510609,1
EMP000019,Employee_19,Male,40,Marketing,Marketing Executive,2023-03-01,Resigned,2026-07-14,High School,Medan,10196456,4388124,4.62,33,78.66,3.370294318959617,2
EMP000020,Employee_20,Male,34,Finance,Accountant,2025-07-21,Active,,Bachelor,Bandung,32257645,3745075,4.23,54,99.34,0.9801505817932923,5
EMP000021,Employee_21,Male,40,HR,HR Manager,2022-09-22,Active,,Diploma,Bandung,17946419,8283784,3.88,9,92.81,3.808350444900753,3
EMP000022,Employee_22,Male,48,Customer Service,Customer Support,2024-11-12,Active,,High School,Bandung,15987688,4470922,3.91,43,85.38,1.6673511293634498,5
EMP000023,Employee_23,Male,23,IT,System Admin,2024-08-30,Active,,Master,Semarang,33753077,2869011,3.95,59,94.82,1.8699520876112252,3
EMP000024,Employee_24,Female,45,Operations,Operations Staff,2020-04-27,Resigned,,Master,Medan,15158635,5461541,3.23,9,83.81,6.2121834360027375,5
EMP000025,Employee_25,Male,47,Finance,Accountant,2018-06-25,Resigned,,High School,Jakarta,29950392,5935620,4.72,30,93.03,8.05201916495551,3
EMP000026,Employee_26,Female,36,Marketing,SEO Specialist,2019-12-04,Active,,Diploma,Jakarta,23175329,9679331,3.6,14,86.09,6.609171800136893,5
EMP000027,Employee_27,Male,51,Logistics,Warehouse Staff,2020-03-05,Resigned,2022-01-01,Master,Yogyakarta,31548307,3106632,4.9,12,98.59,1.8261464750171115,1
EMP000028,Employee_28,Female,44,Operations,Operations Staff,2023-09-30,Active,,Bachelor,Medan,26355751,4984842,4.61,1,73.82,2.7871321013004793,3
EMP000029,Employee_29,Female,34,Finance,Accountant,2019-10-13,Resigned,,High School,Medan,18806654,5098795,2.84,60,86.82,6.751540041067762,5
EMP000030,Employee_30,Male,42,Customer Service,Call Center,2025-11-14,Resigned,,Diploma,Bandung,6152842,6044376,3.29,56,73.57,0.6625598904859685,1
EMP000031,Employee_31,Male,32,Operations,Operations Manager,2024-07-30,Active,,Bachelor,Bandung,24103248,752787,4.49,55,79.52,1.9548254620123204,4
EMP000032,Employee_32,Male,35,Finance,Financial Analyst,2022-08-20,Active,,Bachelor,Medan,23612531,9330386,2.88,53,77.27,3.898699520876112,3
EMP000033,Employee_33,Female,28,Customer Service,Customer Support,2021-04-16,Active,,Bachelor,Yogyakarta,15952207,9564269,3.94,56,75.37,5.242984257357974,2
EMP000034,Employee_34,Female,55,Marketing,SEO Specialist,2019-12-17,Active,,Master,Semarang,4459416,5443043,4.17,4,90.02,6.573579739904175,1
